Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App.,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
05/04/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Jewish Federation,S16MY283,05/19/2016 12:00:00 AM,05/19/2016 12:00:00 AM,,First Hill,3,East,Red Carpet Valet,70
05/04/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - The Sanctuary,S16MY284,05/21/2016 12:00:00 AM,05/21/2016 12:00:00 AM,,West Seattle,1,Southwest,Red Carpet Valet,80
11/15/2016 12:00:00 AM,On Hold,Special Event,Athletic,Run/Walk,Fiesta 5K Ole,S17MY009,05/06/2017 12:00:00 AM,05/06/2017 12:00:00 AM,,Fremont,4,North,"Fizz Events, LLC",3500
11/17/2016 12:00:00 AM,Complete,Special Event,Community,,SOURCE_NYE,S16DE517,12/31/2016 12:00:00 AM,12/31/2016 12:00:00 AM,,Sodo,2,West,Upper Left,1000
04/27/2016 12:00:00 AM,Complete,Special Event,Community,,Magnolia Village Car Show,S16AU268,08/13/2016 12:00:00 AM,08/13/2016 12:00:00 AM,,Magnolia,7,West,Werner's Crash Shop/Magnolia Chamber of Commerce,880
04/28/2016 12:00:00 AM,Complete,Special Event,Commercial,,Sunset Supper at Pike Place Market,S16AU269,08/12/2016 12:00:00 AM,08/12/2016 12:00:00 AM,,Downtown,7,West,Market Foundation,1600
11/17/2016 12:00:00 AM,Complete,Special Event,Free Speech,,"Our Lady of Guadalupe, Mother of the Americas Celebration",S16DE518,12/03/2016 12:00:00 AM,12/03/2016 12:00:00 AM,,Central District,3,East,Catholic Corporation of the Archdiocese of Seattle,1060
11/18/2016 12:00:00 AM,Complete,Special Event,Community,,2017 Wing Luke Museum Lunar New Year Lion Dance,S17JA010,01/28/2017 12:00:00 AM,01/28/2017 12:00:00 AM,,International District,2,West,Wing Luke Museum of the Asian Pacific American Experience,465
11/28/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Seattle Women March Against Hate,S16DE519,12/03/2016 12:00:00 AM,12/03/2016 12:00:00 AM,,Capitol Hill,3,East,,2030
11/29/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Paramount Theater,S16DE520,12/02/2016 12:00:00 AM,12/02/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,100
11/25/2016 12:00:00 AM,In Process,Special Event,Mixed Free Speech,,Seattle Hempfest 2017,S17AU011,08/18/2017 12:00:00 AM,08/20/2017 12:00:00 AM,Myrtle Edwards Park,Downtown,7,West,Seattle Events A Non-Profit Corporation,94200
11/30/2016 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Running of the Beavers Run/Walk,S17AP012,04/01/2017 12:00:00 AM,04/01/2017 12:00:00 AM,Golden Gardens Park,Ballard,6,North,Ballard High School Foundation,600
12/01/2016 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,The Color Run Seattle 2017,S17MY013,05/14/2017 12:00:00 AM,05/14/2017 12:00:00 AM,,Downtown,7,West,"The Color Run, LLC",9200
12/01/2016 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,PurpleStride Puget Sound 2017,S17OC014,10/29/2017 12:00:00 AM,10/29/2017 12:00:00 AM,Magnuson Park,Sand Point,4,North,Pancreatic Cancer Action Network,2600
11/08/2016 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Shore Run,S17JU015,06/11/2017 12:00:00 AM,06/11/2017 12:00:00 AM,,Multiple Neighborhoods,3,East,Orswell Events,2000
